Experience,Education,Department,Projects_Completed,Training_Hours,Performance_Score
1.0,Bachelor,Sales,25.0,,89.15509669827104
11.0,PhD,Engineering,28.0,45.0,101.10892285168754
11.0,PhD,HR,7.0,66.0,79.6931657045217
10.0,Master,HR,28.0,105.0,113.57101866475226
12.0,Bachelor,Engineering,23.0,75.0,106.37892217394106
12.0,,Sales,25.0,113.0,108.268953190885
14.0,Bachelor,Engineering,11.0,82.0,99.05688097902282
14.0,PhD,Sales,14.0,67.0,94.4172708761228
14.0,Master,Engineering,23.0,80.0,116.05811325235412
3.0,Master,Sales,3.0,100.0,53.836277646058576
12.0,PhD,Sales,28.0,45.0,129.80380967863093
7.0,Master,Engineering,28.0,55.0,104.92157236549372
4.0,PhD,Engineering,3.0,20.0,60.88367355351972
9.0,PhD,Engineering,17.0,27.0,99.21532951444959
3.0,Bachelor,HR,4.0,118.0,59.90647579596776
5.0,Master,Engineering,24.0,71.0,103.27463904162833
3.0,Bachelor,HR,18.0,98.0,84.85796915243263
7.0,PhD,Engineering,27.0,66.0,103.90801049726885
5.0,PhD,Sales,10.0,75.0,73.87497048314812
9.0,Bachelor,Sales,15.0,105.0,96.53796085215131
7.0,Master,Sales,23.0,33.0,99.65243607301751
2.0,PhD,Sales,3.0,109.0,60.66154365595385
4.0,,Engineering,18.0,47.0,87.70500936301815
9.0,Master,Sales,9.0,106.0,82.16468092611345
,,HR,7.0,97.0,87.09936113174992
14.0,Bachelor,Engineering,24.0,107.0,113.40838288659505
2.0,Master,Engineering,25.0,21.0,91.25095684086712
10.0,Bachelor,Sales,5.0,45.0,71.90442535986645
9.0,PhD,Sales,14.0,33.0,90.48880125459199
10.0,,Sales,28.0,78.0,103.4022949664389
5.0,PhD,HR,18.0,75.0,88.41779035305457
2.0,Bachelor,HR,21.0,26.0,84.09691991917593
4.0,Bachelor,HR,7.0,22.0,70.3729255472549
12.0,,HR,24.0,42.0,104.75585832959162
12.0,Bachelor,Sales,27.0,37.0,103.9032131598068
7.0,,Engineering,16.0,57.0,86.2456734651323
12.0,PhD,Sales,7.0,118.0,79.2704366557145
,Bachelor,HR,17.0,34.0,92.59721658394758
8.0,Bachelor,HR,19.0,83.0,98.33991634847285
3.0,PhD,Sales,16.0,108.0,88.0061911357102
14.0,Master,HR,22.0,47.0,107.01524282112725
1.0,,Engineering,7.0,93.0,62.121145863892735
4.0,,Engineering,14.0,58.0,77.46107191660094
2.0,PhD,Engineering,18.0,76.0,77.70550789011898
8.0,PhD,Sales,28.0,36.0,111.3186860694401
4.0,,Engineering,28.0,105.0,105.0507073021431
2.0,,HR,18.0,109.0,76.65696405367198
14.0,PhD,HR,23.0,63.0,112.72383433547452
6.0,Master,Engineering,9.0,44.0,81.92266516966947
6.0,Master,Sales,6.0,36.0,74.44518101607486
10.0,Bachelor,Engineering,3.0,32.0,78.68848719200244
4.0,,Sales,7.0,103.0,75.33992653721207
6.0,PhD,HR,25.0,44.0,106.27422586186626
,Bachelor,Sales,28.0,87.0,123.14321315151533
2.0,Bachelor,Engineering,12.0,29.0,72.7246870739059
10.0,PhD,Sales,24.0,86.0,104.08758491270954
12.0,Bachelor,Engineering,7.0,,85.01738882656592
2.0,Master,Engineering,6.0,119.0,60.32796656988316
10.0,Bachelor,Sales,4.0,,66.23756563494659
14.0,,HR,22.0,53.0,109.60250467099979
4.0,PhD,Engineering,12.0,27.0,77.7876312191861
14.0,,HR,28.0,59.0,117.0636529111691
8.0,Master,Sales,21.0,102.0,96.53610106380697
14.0,Bachelor,Sales,28.0,61.0,119.22981642016634
7.0,PhD,Sales,3.0,60.0,75.28428387109444
12.0,Bachelor,HR,26.0,25.0,111.2028136298755
9.0,Bachelor,Engineering,7.0,71.0,85.28316691091727
14.0,Master,Engineering,15.0,45.0,86.93754754076014
8.0,,Sales,6.0,,81.73927890664518
5.0,,Sales,18.0,117.0,93.48703057431312
13.0,,Engineering,26.0,78.0,119.51127336694596
2.0,,Engineering,18.0,75.0,70.94040998398114
5.0,Bachelor,HR,25.0,78.0,102.59443497611241
8.0,PhD,HR,4.0,89.0,71.74940412162374
10.0,,Engineering,19.0,52.0,85.8533128003767
9.0,PhD,Engineering,29.0,72.0,117.99088853917348
12.0,Bachelor,HR,22.0,41.0,114.22086539274484
12.0,Bachelor,HR,26.0,40.0,103.47743964067415
12.0,Bachelor,Sales,14.0,89.0,95.87710537650057
13.0,PhD,Sales,20.0,89.0,112.94295560722091
9.0,PhD,Sales,5.0,23.0,81.65080656728573
13.0,,Sales,3.0,113.0,84.68030525579762
13.0,,Sales,3.0,94.0,67.26373560051246
1.0,,HR,21.0,81.0,87.14771383317907
9.0,,HR,13.0,81.0,86.40948050813029
7.0,Bachelor,HR,7.0,113.0,79.47928764359247
9.0,,Engineering,14.0,114.0,90.28080729216913
8.0,Bachelor,Sales,5.0,43.0,73.40059194855567
1.0,PhD,Engineering,3.0,74.0,59.70451924704618
12.0,Master,Engineering,3.0,28.0,77.64043314464121
8.0,,Engineering,10.0,22.0,80.87861360054029
8.0,PhD,Engineering,12.0,50.0,81.22388000435619
11.0,,Engineering,13.0,59.0,83.4729550440772
3.0,Master,Engineering,14.0,55.0,79.83926736885635
1.0,,Sales,15.0,43.0,70.46984840164716
8.0,PhD,Sales,14.0,114.0,85.99604066979633
3.0,Master,HR,16.0,25.0,81.43486979226967
3.0,,HR,4.0,85.0,51.57391178217281
1.0,Bachelor,HR,21.0,103.0,74.19325548161588
11.0,PhD,Engineering,20.0,111.0,100.50130711695398
5.0,PhD,Sales,5.0,94.0,69.77281741149828
10.0,Bachelor,Sales,25.0,23.0,111.22019135324581
7.0,Master,Engineering,19.0,98.0,84.54342752062047
,PhD,HR,28.0,25.0,115.18315742206407
9.0,Bachelor,Engineering,10.0,113.0,81.77465190841832
12.0,Master,HR,28.0,70.0,111.58421377451762
7.0,PhD,HR,12.0,81.0,78.75724071970315
9.0,,HR,28.0,76.0,114.00928666020083
8.0,Master,Engineering,4.0,,73.37002892542786
12.0,Master,Engineering,21.0,98.0,105.7515326137766
,Bachelor,Sales,11.0,94.0,71.7174786940395
1.0,Bachelor,HR,9.0,27.0,70.14048888308096
7.0,,Sales,6.0,45.0,72.51450216298339
7.0,Bachelor,Sales,28.0,70.0,106.27159443227119
14.0,PhD,Sales,23.0,64.0,118.19085370068903
8.0,Master,HR,20.0,63.0,94.34206687868421
5.0,Bachelor,HR,15.0,24.0,85.5907029764034
3.0,Master,Sales,13.0,89.0,72.98147759663429
12.0,Bachelor,HR,26.0,45.0,110.92066329294107
8.0,Master,Engineering,6.0,87.0,74.47975121600182
6.0,,HR,27.0,38.0,105.07636426493383
11.0,,Engineering,23.0,103.0,112.47090981275534
3.0,Bachelor,Engineering,27.0,116.0,96.98272631769387
1.0,Master,Sales,6.0,39.0,53.50081544338228
3.0,Bachelor,HR,12.0,31.0,77.15723146766969
5.0,Bachelor,HR,7.0,66.0,82.76921087072854
14.0,,Engineering,11.0,20.0,95.04334415533675
3.0,,Sales,26.0,109.0,86.4561618041021
1.0,PhD,Engineering,5.0,33.0,60.34826444735425
5.0,Master,HR,19.0,83.0,88.4849369840808
10.0,Bachelor,Engineering,5.0,57.0,77.06445578318805
7.0,Bachelor,HR,18.0,56.0,95.72704949988567
14.0,Bachelor,Sales,6.0,30.0,93.89137393167861
7.0,Master,HR,20.0,119.0,97.41792872600541
11.0,Bachelor,HR,19.0,96.0,99.83470957664466
9.0,Bachelor,Engineering,9.0,22.0,87.12839392184814
10.0,,Engineering,26.0,52.0,101.5308517939288
10.0,Master,HR,25.0,25.0,103.91971939633002
12.0,Master,HR,7.0,,81.47686110699135
,Master,HR,14.0,29.0,96.84524676034033
3.0,Bachelor,HR,19.0,24.0,87.03367331243419
7.0,Master,Engineering,25.0,42.0,100.49643525831358
1.0,Bachelor,Sales,15.0,,69.96982102748862
4.0,,Sales,25.0,63.0,100.37425142348064
13.0,Bachelor,Engineering,27.0,21.0,115.32271638897653
4.0,PhD,HR,5.0,32.0,66.01064460435516
14.0,Bachelor,HR,11.0,59.0,97.25533872737954
,Master,HR,19.0,21.0,88.69438803961474
7.0,PhD,Sales,19.0,103.0,92.71635847372146
7.0,PhD,Sales,22.0,84.0,102.15236710217914
13.0,Master,HR,18.0,82.0,103.75684737285188
11.0,Master,HR,27.0,92.0,116.81398492895245
13.0,,Engineering,24.0,36.0,114.72333722159195
4.0,PhD,Engineering,15.0,28.0,90.58443772093457
13.0,PhD,Engineering,29.0,94.0,121.54706708934565
7.0,,Engineering,21.0,34.0,98.68986635075386
11.0,PhD,Engineering,19.0,43.0,106.00828356998184
3.0,PhD,Sales,6.0,57.0,65.31808879975085
6.0,Master,Sales,14.0,54.0,79.8107345163528
12.0,Master,Engineering,11.0,113.0,88.12927209438271
2.0,Master,HR,21.0,114.0,83.17746537248756
10.0,,HR,14.0,68.0,86.24834515901641
13.0,Bachelor,Engineering,11.0,88.0,94.08902584600942
14.0,,Sales,9.0,81.0,88.35241725975457
9.0,,Engineering,16.0,79.0,92.97426410600923
5.0,,Engineering,22.0,69.0,92.20662778144681
6.0,Master,Sales,21.0,97.0,93.29189253353742
12.0,PhD,HR,28.0,94.0,118.78028323914428
12.0,Master,Engineering,17.0,28.0,96.79050437805726
12.0,PhD,Sales,18.0,53.0,104.19445522968387
12.0,Bachelor,Sales,23.0,,116.33653933319476
4.0,Bachelor,Engineering,7.0,118.0,70.2155454147588
14.0,Bachelor,Sales,5.0,54.0,81.58952157363765
14.0,PhD,HR,14.0,20.0,95.92490994330102
11.0,Master,Engineering,27.0,59.0,111.25868549607442
10.0,Bachelor,HR,22.0,83.0,100.02554851465217
7.0,PhD,Engineering,29.0,41.0,102.54409845194975
12.0,PhD,HR,23.0,79.0,109.27203638480846
9.0,PhD,Engineering,6.0,83.0,75.89401334137101
7.0,Master,Engineering,23.0,112.0,99.44860441779029
14.0,,Sales,25.0,91.0,121.43193706107644
1.0,,HR,18.0,30.0,77.8182358303782
1.0,Bachelor,Sales,27.0,33.0,86.57289997659845
9.0,Bachelor,HR,9.0,79.0,79.50553753873224
11.0,,HR,15.0,49.0,98.35212608558321
14.0,Bachelor,Sales,23.0,54.0,115.88385135358477
9.0,Master,HR,12.0,104.0,88.59319823806783
4.0,,Engineering,28.0,56.0,96.87646638418948
13.0,PhD,HR,9.0,24.0,93.2595130901635
9.0,Bachelor,HR,16.0,102.0,96.88449539018534
3.0,,Engineering,28.0,97.0,94.52289185055012
7.0,Master,HR,7.0,45.0,74.29214951228738
6.0,PhD,Sales,5.0,81.0,79.60200981841056
8.0,Bachelor,Engineering,25.0,23.0,99.80062861768306
11.0,Master,HR,13.0,108.0,82.97456665378138
9.0,,HR,13.0,61.0,94.414522172324
14.0,,HR,20.0,108.0,113.6830238585228
5.0,,Sales,17.0,37.0,83.21516338211288
1.0,Bachelor,Sales,14.0,59.0,72.43504109065957
3.0,Master,HR,11.0,91.0,66.37532474905524
10.0,Bachelor,Engineering,12.0,58.0,88.44476136304851
12.0,Master,Sales,28.0,33.0,121.829568576857
8.0,,Sales,14.0,51.0,84.2869757912086
,Bachelor,HR,19.0,70.0,104.88550989393147
6.0,,Engineering,8.0,57.0,76.31861928695216
8.0,Bachelor,Engineering,9.0,116.0,82.38908445440569
9.0,,HR,16.0,42.0,89.57845409706816
4.0,,HR,15.0,82.0,78.72687908533253
1.0,PhD,Engineering,10.0,34.0,57.76613782764299
14.0,,Engineering,12.0,116.0,93.16665293744947
1.0,PhD,HR,11.0,44.0,74.31742729015629
10.0,Bachelor,Sales,20.0,36.0,95.35333902948864
4.0,,HR,29.0,116.0,97.59849173071548
12.0,,Sales,28.0,85.0,119.20094911853562
,,HR,4.0,97.0,86.01384145996546
,,Sales,7.0,,77.9493162489815
2.0,Bachelor,Engineering,7.0,70.0,58.68389729954798
3.0,,HR,8.0,58.0,80.82028974650173
1.0,Master,Engineering,21.0,70.0,77.42123312916375
5.0,,HR,10.0,89.0,75.77123656867035
1.0,PhD,Sales,18.0,25.0,78.20672252065707
8.0,Bachelor,Engineering,15.0,86.0,82.56679241317477
1.0,Master,HR,3.0,26.0,54.64895288593375
11.0,PhD,HR,24.0,70.0,108.11653800442934
1.0,Master,Sales,22.0,91.0,81.75013394068264
2.0,PhD,Sales,19.0,61.0,87.18611810767425
2.0,,Engineering,9.0,83.0,66.69187127268765
12.0,Bachelor,HR,27.0,34.0,107.79362664490857
6.0,Master,Engineering,15.0,48.0,77.36937233665351
7.0,,Sales,6.0,52.0,76.03082545305728
5.0,PhD,Sales,6.0,113.0,61.56614608649832
,PhD,Sales,8.0,46.0,65.58213036524542
1.0,PhD,Engineering,21.0,55.0,85.7232759283348
3.0,Bachelor,Sales,14.0,48.0,72.02322318037992
14.0,Bachelor,Engineering,24.0,,118.45369041887446
2.0,PhD,Engineering,9.0,76.0,58.91103188119184
5.0,Bachelor,HR,29.0,116.0,104.9822946699928
12.0,,Sales,12.0,46.0,91.79571033201995
10.0,Bachelor,HR,28.0,74.0,111.40501012134553
6.0,Master,HR,21.0,52.0,87.61051678509713
7.0,,Sales,9.0,87.0,72.81488997800037
4.0,PhD,Engineering,5.0,,73.59401012510298
7.0,,Sales,15.0,85.0,92.57577504435876
11.0,PhD,Engineering,15.0,29.0,98.21042294261899
8.0,Master,HR,20.0,24.0,100.69924051764843
11.0,Master,Sales,28.0,93.0,118.23006772335634
1.0,Bachelor,HR,22.0,116.0,83.38321893856896
6.0,,Engineering,10.0,57.0,77.23801775907175
8.0,Bachelor,Engineering,11.0,32.0,75.13745810979495
5.0,,HR,9.0,50.0,73.05152186596237
4.0,PhD,Engineering,3.0,66.0,68.41707124769593
2.0,PhD,Sales,5.0,119.0,58.19646375871432
6.0,,Engineering,15.0,107.0,89.61570602343613
6.0,Bachelor,Engineering,27.0,71.0,102.95792869346882
11.0,PhD,Sales,19.0,75.0,93.57314067165134
1.0,,Sales,27.0,,86.96340243326844
9.0,Master,HR,26.0,48.0,111.59651434853878
12.0,Master,Engineering,3.0,27.0,81.26262042629193
11.0,Master,Engineering,8.0,24.0,84.50882036493813
6.0,,Sales,23.0,48.0,95.12984092876027
13.0,,Sales,8.0,66.0,89.05283988814293
3.0,Master,Sales,28.0,87.0,102.40148124626624
4.0,,Sales,14.0,95.0,86.37926640243643
12.0,Bachelor,Engineering,15.0,64.0,104.11842099720302
11.0,PhD,Sales,15.0,21.0,96.35979950379249
4.0,Bachelor,Engineering,17.0,46.0,82.6403415481774
3.0,Bachelor,Engineering,23.0,114.0,91.23124003909427
10.0,Bachelor,HR,18.0,55.0,99.6106017862754
3.0,PhD,Engineering,24.0,55.0,94.59033471922545
3.0,Master,HR,23.0,45.0,97.03993318570052
4.0,Master,Engineering,13.0,62.0,88.07877860958328
7.0,Bachelor,Sales,7.0,46.0,73.47372685192957
4.0,PhD,HR,6.0,88.0,77.7794245441223
9.0,,Engineering,5.0,39.0,81.36119623379197
1.0,PhD,Engineering,21.0,30.0,82.99588504907396
8.0,Bachelor,HR,22.0,93.0,106.4928241943254
7.0,Bachelor,Sales,27.0,57.0,112.92824150709582
2.0,Bachelor,HR,20.0,25.0,81.69852277903077
8.0,,Engineering,17.0,91.0,100.16107626242824
1.0,PhD,Engineering,11.0,42.0,73.87541410517981
11.0,,Sales,19.0,66.0,112.34279563989597
12.0,Bachelor,Engineering,16.0,109.0,95.8798070900025
9.0,PhD,Engineering,17.0,65.0,91.73286628132001
9.0,,Sales,3.0,31.0,62.3666893512833
2.0,PhD,Sales,23.0,109.0,91.3559696028398
7.0,Master,HR,24.0,32.0,101.87625627809359
14.0,,Sales,24.0,81.0,111.18503164232166
,Master,Engineering,5.0,101.0,77.09074634255971
,PhD,Engineering,18.0,108.0,76.44389494912443
7.0,,Engineering,25.0,116.0,107.49222476415844
12.0,Bachelor,HR,27.0,79.0,112.05150262735845
10.0,Bachelor,Engineering,13.0,62.0,104.97024507810475
9.0,,Sales,14.0,95.0,88.12199349644483
4.0,PhD,Sales,12.0,119.0,72.20190579475845
12.0,PhD,Sales,18.0,87.0,98.93843440632568
1.0,Master,HR,10.0,24.0,59.94019511727874
2.0,,Engineering,8.0,56.0,68.4113594535147
1.0,PhD,Sales,14.0,91.0,70.90050150110439
14.0,Master,Engineering,26.0,111.0,122.65626395198869
12.0,Bachelor,Sales,23.0,50.0,107.12626252412791
5.0,Master,Sales,10.0,28.0,81.92221055842823
,,Engineering,28.0,70.0,105.7872787465852
11.0,Master,Sales,6.0,48.0,81.14298388359173
7.0,PhD,Sales,28.0,97.0,113.9011629367541
9.0,Master,Sales,10.0,59.0,87.76146730518604
9.0,PhD,Engineering,28.0,,124.73106413331612
3.0,Master,Engineering,20.0,105.0,83.95272377510898
3.0,PhD,Sales,7.0,30.0,66.88308052729231
3.0,PhD,HR,11.0,42.0,80.34354505505465
4.0,PhD,Sales,6.0,20.0,59.28231094082444
8.0,Bachelor,Sales,29.0,65.0,116.08471781616281
6.0,,HR,24.0,40.0,100.19651378840736
8.0,Master,Engineering,19.0,109.0,90.05894622276377
1.0,,Sales,11.0,55.0,61.68480170724439
8.0,PhD,Engineering,3.0,73.0,67.13755263434858
4.0,PhD,Sales,23.0,106.0,81.07590213837214
11.0,PhD,Engineering,22.0,76.0,102.55230278154248
1.0,PhD,Sales,15.0,20.0,77.6127816667129
8.0,PhD,Engineering,18.0,82.0,90.61849679515586
4.0,Bachelor,Engineering,15.0,73.0,87.44156350716904
6.0,PhD,Engineering,16.0,74.0,94.29973801362644
8.0,Master,Sales,5.0,59.0,79.87822241312887
4.0,,HR,8.0,34.0,71.15320455132182
14.0,PhD,HR,20.0,40.0,96.37660363756765
3.0,Bachelor,Sales,21.0,,83.98151253983697
14.0,PhD,Sales,7.0,92.0,87.78980736612806
9.0,Bachelor,Engineering,17.0,72.0,89.03066175247595
3.0,Bachelor,HR,27.0,28.0,95.80247262256715
9.0,,HR,4.0,93.0,82.0503373434669
13.0,Master,HR,12.0,71.0,85.7711173524234
2.0,PhD,Engineering,26.0,76.0,102.05846028059513
14.0,Master,HR,20.0,45.0,112.42363210877069
2.0,,Sales,29.0,60.0,98.84108404138848
2.0,PhD,Engineering,15.0,54.0,72.93191722129617
6.0,Bachelor,Sales,7.0,82.0,68.13024827254287
3.0,,Sales,25.0,44.0,85.3689114270563
13.0,,Sales,26.0,109.0,123.58382740157194
9.0,PhD,HR,3.0,94.0,80.1880578003702
4.0,,Engineering,24.0,57.0,86.96857685708359
1.0,Bachelor,HR,3.0,21.0,53.73686002546899
4.0,,HR,20.0,26.0,90.16572384615954
1.0,Master,Sales,17.0,101.0,76.00245430913895
14.0,Bachelor,HR,19.0,110.0,96.90662621484091
5.0,Bachelor,Sales,13.0,53.0,76.21113619722156
4.0,Bachelor,Engineering,23.0,110.0,102.2551714901001
8.0,PhD,Sales,28.0,36.0,105.05010704792778
,,Engineering,27.0,62.0,105.68266331648897
7.0,,HR,24.0,78.0,94.2741128798231
3.0,,Sales,29.0,70.0,102.43881492641874
1.0,Bachelor,HR,29.0,73.0,96.07575899512292
1.0,Master,Engineering,19.0,43.0,76.7899012922151
12.0,Bachelor,HR,15.0,44.0,89.97672302096288
11.0,Bachelor,Engineering,3.0,90.0,83.52271687005438
3.0,PhD,HR,4.0,71.0,53.972282966794594
6.0,PhD,Engineering,11.0,89.0,81.01907847794777
7.0,,HR,5.0,107.0,60.73060377644214
6.0,,Engineering,3.0,52.0,70.03605841506192
14.0,,HR,23.0,68.0,117.3514944363003
14.0,Bachelor,HR,18.0,48.0,110.47391855819957
6.0,Bachelor,HR,25.0,82.0,98.69395765715066
6.0,,Engineering,8.0,41.0,81.92001802781849
13.0,Bachelor,HR,19.0,45.0,116.03895847498035
3.0,,Sales,7.0,47.0,64.89188431977018
6.0,Master,Engineering,7.0,104.0,70.24497484935036
8.0,,Engineering,8.0,68.0,78.74588630172468
11.0,Master,Sales,5.0,90.0,77.11159927052897
11.0,PhD,HR,23.0,100.0,103.3806490199494
2.0,Master,HR,25.0,103.0,88.81630729879245
5.0,PhD,Engineering,7.0,68.0,79.07878004003123
14.0,PhD,Sales,23.0,39.0,116.35940997517716
1.0,Master,HR,7.0,105.0,60.09526936370955
12.0,PhD,Sales,12.0,111.0,79.72437487138858
1.0,Bachelor,HR,12.0,,62.27767753196766
5.0,PhD,HR,21.0,80.0,94.01714541300939
12.0,,Engineering,19.0,68.0,91.89222029305591
13.0,,HR,23.0,90.0,111.96496763725978
3.0,Master,HR,16.0,20.0,74.67218137567487
,,Sales,11.0,,74.95902887290336
3.0,Bachelor,Engineering,16.0,32.0,80.31928150667072
1.0,Bachelor,HR,3.0,113.0,57.10294966945355
1.0,Bachelor,Sales,21.0,106.0,81.52789076460739
12.0,PhD,Sales,15.0,70.0,94.36357187196134
12.0,Master,HR,15.0,75.0,92.8960479053178
14.0,PhD,Engineering,6.0,102.0,89.41946158620945
13.0,Master,Sales,3.0,81.0,84.52596337390474
14.0,PhD,Engineering,19.0,51.0,100.40513738731937
5.0,Bachelor,Engineering,10.0,49.0,74.74185763853865
6.0,,HR,4.0,48.0,68.98291036743869
3.0,,Engineering,10.0,68.0,71.9188556731152
12.0,PhD,Engineering,9.0,64.0,88.33384809798258
9.0,PhD,HR,28.0,112.0,107.98982594827388
5.0,PhD,Sales,28.0,49.0,103.3951521273127
8.0,Bachelor,Engineering,4.0,35.0,75.0901435549181
13.0,Master,HR,24.0,59.0,112.70518327911282
1.0,Master,HR,24.0,38.0,90.52969918266862
14.0,Bachelor,HR,5.0,37.0,90.45176705518753
5.0,Master,Sales,29.0,20.0,94.24529821052366
3.0,PhD,HR,20.0,97.0,90.71731920932683
12.0,,Sales,14.0,66.0,96.71213882610637
1.0,,Sales,3.0,85.0,50.941873361306364
4.0,,Sales,24.0,111.0,98.01235441159844
13.0,,Engineering,14.0,113.0,95.00839546988018
5.0,Bachelor,HR,7.0,57.0,69.19016781840723
7.0,Master,HR,29.0,70.0,104.9616010876717
1.0,Master,Sales,27.0,82.0,94.01199422119112
3.0,Master,Engineering,19.0,23.0,80.57323428743973
2.0,Bachelor,Engineering,18.0,20.0,85.50737314973892
9.0,PhD,Engineering,17.0,27.0,92.80568706402664
,Master,Sales,25.0,48.0,105.67898758256031
6.0,,HR,17.0,74.0,91.26437838806984
10.0,PhD,HR,7.0,22.0,78.9022161884046
3.0,PhD,Sales,23.0,51.0,95.24088412681151
8.0,,Sales,16.0,29.0,94.89796475420432
14.0,Master,HR,4.0,93.0,77.32598080890511
8.0,Bachelor,HR,13.0,102.0,91.04630101111462
2.0,Bachelor,Sales,21.0,53.0,78.18982014249057
6.0,Master,HR,9.0,116.0,81.35790263441255
7.0,PhD,HR,8.0,106.0,86.1417859611512
2.0,PhD,Engineering,4.0,74.0,64.37417219134565
11.0,Master,Sales,8.0,111.0,73.21509677650164
10.0,Master,HR,20.0,51.0,105.3178285969301
2.0,Bachelor,HR,4.0,69.0,71.23064482968006
10.0,Bachelor,Sales,20.0,26.0,98.48484179500986
1.0,PhD,Sales,17.0,112.0,77.32648339985055
8.0,Master,Engineering,29.0,27.0,103.55756639036784
1.0,,Engineering,21.0,84.0,85.06039709409835
9.0,,Sales,4.0,76.0,80.34588591271564
11.0,Master,Engineering,22.0,86.0,108.48868564074726
6.0,Bachelor,HR,27.0,107.0,118.209834886439
7.0,Bachelor,Sales,8.0,106.0,76.165135214829
13.0,PhD,HR,3.0,78.0,72.34663316292368
10.0,Master,Sales,26.0,91.0,109.85485485784109
,PhD,Engineering,17.0,73.0,77.41774117393756
10.0,PhD,Engineering,25.0,86.0,104.83448037567743
3.0,,HR,12.0,70.0,82.12191029300106
2.0,PhD,Engineering,21.0,116.0,87.12566824315886
9.0,Bachelor,HR,19.0,,97.39708406415635
8.0,Master,Sales,7.0,27.0,85.60390188357678
13.0,,Engineering,6.0,53.0,83.64700054168316
12.0,Bachelor,Sales,12.0,54.0,98.30910206467054
,PhD,HR,26.0,115.0,109.6465348758317
7.0,,HR,19.0,107.0,94.40023731729514
9.0,Master,Sales,12.0,97.0,79.91347572068494
4.0,Bachelor,Sales,19.0,51.0,84.08976602585892
13.0,Bachelor,Sales,22.0,65.0,102.01240883578063
4.0,,HR,26.0,35.0,96.52377460887327
1.0,Master,HR,7.0,87.0,64.45201171958134
8.0,Bachelor,Engineering,4.0,56.0,66.44980947454275
14.0,,Sales,8.0,73.0,100.24589461342411
14.0,PhD,HR,23.0,104.0,113.89053009545981
12.0,,HR,4.0,,80.2889779279261
3.0,Master,HR,15.0,114.0,82.34828875672812
7.0,PhD,Sales,13.0,74.0,79.3553595956704
12.0,Bachelor,HR,13.0,67.0,94.31738739583727
2.0,,HR,18.0,101.0,77.41566889821205
2.0,Master,HR,13.0,26.0,81.29339955044492
7.0,Bachelor,HR,21.0,93.0,90.2068032530146
6.0,,Engineering,17.0,26.0,87.81582729653587
3.0,,HR,27.0,52.0,98.14657892575887
9.0,Bachelor,Engineering,25.0,42.0,107.4741287220385
10.0,,Sales,25.0,104.0,104.59382413458584
14.0,Master,HR,18.0,38.0,100.52245298927451
13.0,Bachelor,Engineering,13.0,38.0,92.6660241347695
6.0,,Sales,24.0,55.0,100.64162717105141
